step,time,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,roll,pitch,yaw,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z
80,1.3333333333333333,-2.2688988e-05,-3.6356678e-07,0.08738095,1.0,7.928239e-07,-2.2892084e-05,1.594587e-06,3.1415894644519957,4.5784169534490715e-05,1.5855748451976126e-06,-0.0005498623,-1.4085187e-05,-2.5465957e-05,0.00029484686,-0.00896698,-9.846145e-07
81,1.35,-1.7378812e-05,-2.5041234e-07,0.0873812,0.99999994,-7.1794335e-07,2.1837868e-05,1.58659e-06,3.141589480441011,-4.367574125296869e-05,-1.4358174929007816e-06,0.00053101755,1.1315446e-05,2.4302331e-05,-0.00030258734,0.008958415,-1.6014504e-06
82,1.3666666666666667,-2.2883647e-05,-3.8588257e-07,0.08738094,1.0,7.504919e-07,-2.2893493e-05,1.5813467e-06,3.1415894909306803,4.578698881330112e-05,1.5009113809583141e-06,-0.0005504835,-1.35470245e-05,-2.6209205e-05,0.0002946193,-0.008974236,-1.0519277e-06
83,1.3833333333333333,-1.7571947e-05,-2.5118706e-07,0.087381184,0.99999994,-7.919297e-07,2.183537e-05,1.5535483e-06,3.1415895465276726,-4.367074649014313e-05,-1.5837916940153463e-06,0.0005311701,1.3469551e-05,2.4218176e-05,-0.00030903541,0.008961347,-5.5696883e-06
84,1.4,-2.3078952e-05,-4.396476e-07,0.087380916,1.0,7.4218656e-07,-2.2893782e-05,1.5693031e-06,3.1415895150175857,4.578756720774457e-05,1.4843012612342221e-06,-0.0005507006,-1.8846054e-05,-2.66094e-05,0.00030806017,-0.008981486,3.1638842e-06
85,1.4166666666666667,-1.7787645e-05,-1.5742337e-07,0.08738116,0.99999994,-7.700348e-07,2.1836118e-05,1.5818426e-06,3.141589489937954,-4.367224167500794e-05,-1.5400005572985265e-06,0.00052913075,2.8222425e-05,2.4868556e-05,-0.0003033787,0.008973201,2.5152872e-06
86,1.4333333333333333,-2.3315308e-05,-3.175086e-07,0.0873809,1.0,7.501311e-07,-2.3080882e-05,1.5824645e-06,3.1415894886954066,4.616176611427214e-05,1.5001891664478961e-06,-0.0005527664,-1.6008524e-05,-2.6421292e-05,0.00030422132,-0.008988539,1.2469692e-07
87,1.45,-1.8030616e-05,-2.23083e-08,0.08738115,0.99999994,-7.6640777e-07,2.1648873e-05,1.5983571e-06,3.1415894569085245,-4.3297751766369075e-05,-1.5327464182313122e-06,0.0005284692,2.9520032e-05,2.487994e-05,-0.00030423282,0.008972813,3.1878167e-06
88,1.4666666666666666,-2.3557535e-05,-1.8079422e-07,0.08738088,1.0,7.439404e-07,-2.3081095e-05,1.595626e-06,3.141589462372071,4.6162191757570525e-05,1.4878071519230929e-06,-0.00055269187,-1.5848593e-05,-2.659564e-05,0.00030316424,-0.008977986,-5.4787455e-07
89,1.4833333333333334,-1.8274974e-05,1.1996153e-07,0.08738113,0.99999994,-7.586847e-07,2.1649126e-05,1.6128014e-06,3.141589428019681,-4.3298257442758725e-05,-1.5172996152834628e-06,0.00052825623,3.0075575e-05,2.5294416e-05,-0.00030177296,0.0089827655,3.4488996e-06
90,1.5,-2.3808723e-05,-3.8507117e-08,0.087380864,1.0,7.6038555e-07,-2.326791e-05,1.5904009e-06,3.1415894728234353,4.6535823139404187e-05,1.5206970831460609e-06,-0.000553375,-1.5846865e-05,-2.6851401e-05,0.00030390444,-0.0089856535,-4.481031e-06
91,1.5166666666666666,-1.8473444e-05,1.4158307e-07,0.08738111,0.99999994,-7.338622e-07,2.1649965e-05,1.5906145e-06,3.1415894723924023,-4.329993443841218e-05,-1.4676555746273579e-06,0.00053352804,1.800902e-05,2.4364768e-05,-0.00030009475,0.009020574,4.2824052e-08
92,1.5333333333333332,-2.3987006e-05,2.2670626e-08,0.08738084,1.0,7.5628327e-07,-2.3268043e-05,1.5945723e-06,3.1415894644804503,4.653608870497372e-05,1.5124923369302934e-06,-0.00055135624,-1.1891245e-05,-2.685635e-05,0.0002983867,-0.008993949,7.925846e-07
